,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure_months,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,avg_montly_charge,monthly_rate_validation,contract_type.1,phone_service.1,internet_service.1,tenure_month_ages,Phone,Internet,Services
1,0003-MKNFE,Male,No,No,No,2,1,0,Mailed check,$59.90,$542.40,No,9.06,False,False,True,True,True,0,2020-10-24,$59.90,TRUE,Month-to-Month,Two or More Lines,DSL,9,False,False,Phone and Internet
2,0004-TLHLJ,Male,No,No,No,1,2,0,Electronic check,$73.90,$280.85,Yes,3.8,False,True,True,True,True,0,2021-04-02,$73.90,TRUE,Month-to-Month,One Line,Fiber Optic,4,False,False,Phone and Internet
3,0011-IGKFF,Male,Yes,Yes,No,1,2,0,Electronic check,$98.00,"$1,237.85",Yes,12.63,False,True,True,True,True,1,2020-07-07,$98.00,TRUE,Month-to-Month,One Line,Fiber Optic,13,False,False,Phone and Internet
4,0013-EXCHZ,Female,Yes,Yes,No,1,2,0,Mailed check,$83.90,$267.40,Yes,3.19,True,True,True,True,True,1,2021-04-21,$83.90,TRUE,Month-to-Month,One Line,Fiber Optic,3,False,False,Phone and Internet
5,0013-MHZWF,Female,No,No,Yes,1,1,0,Credit card (automatic),$69.40,$571.45,No,8.23,True,False,True,True,True,2,2020-11-18,$69.40,TRUE,Month-to-Month,One Line,DSL,8,False,False,Phone and Internet
8,0015-UOCOJ,Female,Yes,No,No,1,1,0,Electronic check,$48.20,$340.35,No,7.06,True,False,True,True,True,0,2020-12-24,$48.20,TRUE,Month-to-Month,One Line,DSL,7,False,False,Phone and Internet
12,0018-NYROU,Female,No,Yes,No,1,2,0,Electronic check,$68.95,$351.50,No,5.1,True,False,True,True,True,1,2021-02-21,$68.95,TRUE,Month-to-Month,One Line,Fiber Optic,5,False,False,Phone and Internet
17,0021-IKXGC,Female,Yes,No,No,2,2,0,Electronic check,$72.10,$72.10,No,1.0,True,False,True,True,True,0,2021-06-26,$72.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,1,False,False,Phone and Internet
19,0023-HGHWL,Male,Yes,No,No,0,1,0,Electronic check,$25.10,$25.10,Yes,1.0,False,True,False,True,False,0,2021-06-26,$25.10,TRUE,Month-to-Month,No Phone Service,DSL,1,False,True,Internet
21,0023-XUOPT,Female,No,Yes,No,2,2,0,Electronic check,$94.10,"$1,215.60",Yes,12.92,True,True,True,True,True,1,2020-06-29,$94.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,13,False,False,Phone and Internet
22,0027-KWYKW,Female,No,Yes,Yes,2,2,0,Electronic check,$83.75,"$1,849.95",No,22.09,True,False,True,True,True,3,2019-09-24,$83.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,22,False,False,Phone and Internet
23,0030-FNXPP,Female,No,No,No,1,0,0,Mailed check,$19.85,$57.20,No,2.88,True,False,True,False,False,0,2021-04-30,$19.85,TRUE,Month-to-Month,One Line,No Internet Service,3,True,False,Phone
24,0031-PVLZI,Female,No,Yes,Yes,1,0,0,Mailed check,$20.35,$76.35,Yes,3.75,True,True,True,False,False,3,2021-04-03,$20.35,TRUE,Month-to-Month,One Line,No Internet Service,4,True,False,Phone
25,0032-PGELS,Female,No,Yes,Yes,0,1,0,Bank transfer (automatic),$30.50,$30.50,Yes,1.0,True,True,False,True,False,3,2021-06-26,$30.50,TRUE,Month-to-Month,No Phone Service,DSL,1,False,True,Internet
36,0058-EVZWM,Female,No,Yes,No,2,2,0,Bank transfer (automatic),$89.80,"$4,959.60",No,55.23,True,False,True,True,True,1,2016-12-20,$89.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,55,False,False,Phone and Internet
37,0060-FUALY,Female,No,Yes,No,2,2,0,Electronic check,$94.75,"$5,597.65",No,59.08,True,False,True,True,True,1,2016-08-25,$94.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,59,False,False,Phone and Internet
39,0064-YIJGF,Male,No,Yes,Yes,2,2,0,Bank transfer (automatic),$75.75,"$1,929.00",No,25.47,False,False,True,True,True,3,2019-06-13,$75.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,25,False,False,Phone and Internet
40,0067-DKWBL,Male,Yes,No,No,1,1,0,Electronic check,$49.25,$91.10,Yes,1.85,False,True,True,True,True,0,2021-05-31,$49.25,TRUE,Month-to-Month,One Line,DSL,2,False,False,Phone and Internet
44,0076-LVEPS,Male,No,No,Yes,0,1,0,Mailed check,$45.00,"$1,242.45",No,27.61,False,False,False,True,False,2,2019-04-09,$45.00,TRUE,Month-to-Month,No Phone Service,DSL,28,False,True,Internet
48,0082-LDZUE,Male,No,No,No,1,1,0,Mailed check,$44.30,$44.30,No,1.0,False,False,True,True,True,0,2021-06-26,$44.30,TRUE,Month-to-Month,One Line,DSL,1,False,False,Phone and Internet
49,0082-OQIQY,Male,No,No,No,1,2,0,Electronic check,$94.20,"$2,607.60",No,27.68,False,False,True,True,True,0,2019-04-07,$94.20,TRUE,Month-to-Month,One Line,Fiber Optic,28,False,False,Phone and Internet
51,0089-IIQKO,Female,No,Yes,Yes,2,2,0,Credit card (automatic),$99.95,"$3,767.40",No,37.69,True,False,True,True,True,3,2018-06-06,$99.95,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,38,False,False,Phone and Internet
52,0093-EXYQL,Female,Yes,No,No,1,2,0,Electronic check,$91.55,"$3,673.60",No,40.13,True,False,True,True,True,0,2018-03-24,$91.55,TRUE,Month-to-Month,One Line,Fiber Optic,40,False,False,Phone and Internet
53,0093-XWZFY,Male,No,No,No,2,2,0,Credit card (automatic),$104.50,"$4,036.85",Yes,38.63,False,True,True,True,True,0,2018-05-08,$104.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,39,False,False,Phone and Internet
54,0094-OIFMO,Female,Yes,No,No,1,2,0,Electronic check,$95.00,"$1,120.30",Yes,11.79,True,True,True,True,True,0,2020-08-02,$95.00,TRUE,Month-to-Month,One Line,Fiber Optic,12,False,False,Phone and Internet
55,0096-BXERS,Female,No,Yes,No,2,1,0,Electronic check,$50.35,$314.55,No,6.25,True,False,True,True,True,1,2021-01-17,$50.35,TRUE,Month-to-Month,Two or More Lines,DSL,6,False,False,Phone and Internet
56,0096-FCPUF,Male,No,No,No,2,1,0,Mailed check,$64.50,"$1,888.45",No,29.28,False,False,True,True,True,0,2019-02-17,$64.50,TRUE,Month-to-Month,Two or More Lines,DSL,29,False,False,Phone and Internet
57,0098-BOWSO,Male,No,No,No,1,0,0,Electronic check,$19.40,$529.80,No,27.31,False,False,True,False,False,0,2019-04-18,$19.40,TRUE,Month-to-Month,One Line,No Internet Service,27,True,False,Phone
61,0106-GHRQR,Male,No,No,No,2,1,0,Bank transfer (automatic),$71.40,"$1,212.10",No,16.98,False,False,True,True,True,0,2020-02-26,$71.40,TRUE,Month-to-Month,Two or More Lines,DSL,17,False,False,Phone and Internet
63,0107-WESLM,Male,No,No,No,1,0,0,Electronic check,$19.85,$19.85,Yes,1.0,False,True,True,False,False,0,2021-06-26,$19.85,TRUE,Month-to-Month,One Line,No Internet Service,1,True,False,Phone
64,0107-YHINA,Male,No,No,Yes,2,2,0,Electronic check,$99.75,$99.75,Yes,1.0,False,True,True,True,True,2,2021-06-26,$99.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,1,False,False,Phone and Internet
65,0111-KLBQG,Male,Yes,Yes,Yes,1,2,0,Mailed check,$93.95,"$2,861.45",No,30.46,False,False,True,True,True,3,2019-01-12,$93.95,TRUE,Month-to-Month,One Line,Fiber Optic,30,False,False,Phone and Internet
